workorderid,productid,orderqty,scrappedqty,startdate,enddate,duedate,scrapreasonid,modifieddate
89,324,1148,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
90,327,574,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
91,328,240,4,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,15,2011-06-13 00:00:00
92,329,680,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
93,398,460,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
94,399,574,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
95,400,448,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
96,401,472,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
97,529,460,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
98,532,2296,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
99,533,574,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
100,534,574,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
101,802,305,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
102,803,118,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
103,804,151,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
104,316,1148,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
105,331,1148,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
106,350,574,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
107,531,574,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
108,749,1,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
109,750,1,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
110,771,1,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
111,778,1,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
112,516,2,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
113,519,2,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
114,717,1,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
115,718,1,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
116,745,1,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
117,748,1,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
118,807,4,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
119,810,2,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
120,813,2,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
121,817,2,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
122,820,2,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
123,825,2,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
124,828,2,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
125,894,4,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
126,945,4,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
127,951,4,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
128,996,4,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
129,3,40,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
130,324,8,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
131,327,4,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
132,328,4,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
133,329,4,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
134,398,4,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
135,399,4,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
136,401,8,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
137,529,4,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
138,532,16,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
139,533,4,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
140,534,4,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
141,804,4,0,2011-06-04 00:00:00,2011-06-15 00:00:00,2011-06-15 00:00:00,,2011-06-15 00:00:00
142,316,8,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
143,331,8,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
144,350,4,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
145,531,4,0,2011-06-04 00:00:00,2011-06-14 00:00:00,2011-06-15 00:00:00,,2011-06-14 00:00:00
146,751,2,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
147,752,1,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
148,753,1,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
149,764,1,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
150,517,1,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
151,519,4,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
152,719,2,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
153,720,1,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
154,721,1,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
155,727,1,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
156,806,1,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
157,807,4,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
158,811,1,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
159,813,4,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
160,818,1,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
161,820,4,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
162,826,1,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
163,828,4,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
164,894,5,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
165,945,5,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
166,950,1,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
167,951,4,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
168,994,1,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
169,996,4,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
170,3,50,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
171,324,10,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
172,327,5,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
173,329,10,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
174,398,5,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
175,399,5,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
176,400,2,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
177,401,8,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
178,529,5,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
179,532,20,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
180,533,5,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
181,534,5,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
182,802,1,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
183,804,4,0,2011-06-05 00:00:00,2011-06-23 00:00:00,2011-06-16 00:00:00,,2011-06-23 00:00:00
184,316,10,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
185,331,10,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
186,350,5,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
187,531,5,0,2011-06-05 00:00:00,2011-06-15 00:00:00,2011-06-16 00:00:00,,2011-06-15 00:00:00
188,750,1,0,2011-06-06 00:00:00,2011-06-17 00:00:00,2011-06-17 00:00:00,,2011-06-17 00:00:00
189,753,1,0,2011-06-06 00:00:00,2011-06-17 00:00:00,2011-06-17 00:00:00,,2011-06-17 00:00:00
190,519,2,0,2011-06-06 00:00:00,2011-06-17 00:00:00,2011-06-17 00:00:00,,2011-06-17 00:00:00
191,718,1,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
192,721,1,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
193,807,2,0,2011-06-06 00:00:00,2011-06-17 00:00:00,2011-06-17 00:00:00,,2011-06-17 00:00:00
194,813,2,0,2011-06-06 00:00:00,2011-06-17 00:00:00,2011-06-17 00:00:00,,2011-06-17 00:00:00
195,820,2,0,2011-06-06 00:00:00,2011-06-17 00:00:00,2011-06-17 00:00:00,,2011-06-17 00:00:00
196,828,2,0,2011-06-06 00:00:00,2011-06-17 00:00:00,2011-06-17 00:00:00,,2011-06-17 00:00:00
197,894,2,0,2011-06-06 00:00:00,2011-06-17 00:00:00,2011-06-17 00:00:00,,2011-06-17 00:00:00
198,945,2,0,2011-06-06 00:00:00,2011-06-17 00:00:00,2011-06-17 00:00:00,,2011-06-17 00:00:00
199,951,2,0,2011-06-06 00:00:00,2011-06-17 00:00:00,2011-06-17 00:00:00,,2011-06-17 00:00:00
200,996,2,0,2011-06-06 00:00:00,2011-06-17 00:00:00,2011-06-17 00:00:00,,2011-06-17 00:00:00
201,3,20,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
202,324,4,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
203,327,2,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
204,329,4,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
205,398,2,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
206,399,2,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
207,401,4,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
208,529,2,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
209,532,8,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
210,533,2,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
211,534,2,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
212,804,2,0,2011-06-06 00:00:00,2011-06-17 00:00:00,2011-06-17 00:00:00,,2011-06-17 00:00:00
213,316,4,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
214,331,4,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
215,350,2,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
216,531,2,0,2011-06-06 00:00:00,2011-06-16 00:00:00,2011-06-17 00:00:00,,2011-06-16 00:00:00
217,749,1,0,2011-06-07 00:00:00,2011-06-27 00:00:00,2011-06-18 00:00:00,,2011-06-27 00:00:00
218,750,2,0,2011-06-07 00:00:00,2011-06-27 00:00:00,2011-06-18 00:00:00,,2011-06-27 00:00:00
219,753,1,0,2011-06-07 00:00:00,2011-06-27 00:00:00,2011-06-18 00:00:00,,2011-06-27 00:00:00
220,767,1,0,2011-06-07 00:00:00,2011-06-27 00:00:00,2011-06-18 00:00:00,,2011-06-27 00:00:00
221,517,1,0,2011-06-07 00:00:00,2011-06-27 00:00:00,2011-06-18 00:00:00,,2011-06-27 00:00:00
222,519,4,0,2011-06-07 00:00:00,2011-06-27 00:00:00,2011-06-18 00:00:00,,2011-06-27 00:00:00
223,717,1,0,2011-06-07 00:00:00,2011-06-17 00:00:00,2011-06-18 00:00:00,,2011-06-17 00:00:00
224,718,2,0,2011-06-07 00:00:00,2011-06-17 00:00:00,2011-06-18 00:00:00,,2011-06-17 00:00:00
225,721,1,0,2011-06-07 00:00:00,2011-06-17 00:00:00,2011-06-18 00:00:00,,2011-06-17 00:00:00
226,724,1,0,2011-06-07 00:00:00,2011-06-17 00:00:00,2011-06-18 00:00:00,,2011-06-17 00:00:00
227,806,1,0,2011-06-07 00:00:00,2011-06-27 00:00:00,2011-06-18 00:00:00,,2011-06-27 00:00:00
